# <- this is a comment line
# First non-comment must be csv.header
#
# CSV style register definitions as defined in Sungrow
# Communication Protocol of Residential Hybrid Inverter V1.0.20
# and stolen from many different resources.
#
# 8.bit and 16-bit:Big Endian
# 32-bit: Little Endian (aka "wordswap")
#
# Hdr:
reg_type, reg_number, reg_name, reg_desc, measurement_unit, data_type, data_length, unit_id, scaling_factor, reserved
#i,6227,this_month_PV_energy_yield,"This month PV energy yield","kWh",U16,1,1,0.1,
#i,6250,this_year_PV_energy_yield,"This year PV energy yield","kWh",U32,2,1,0.1,
############# periods
#i,6290,actual_direct_power_consumption_from_PV,"Actual direct power consumption from PV","W",U16,1,1,1,
#i,6386,this_day_direct_energy_consumption_from_PV,"This day direct energy consumation from PV","kWh",U16,1,1,0.1,
#i,6417,this_month_direct_energy_consumption_from_PV,"This month direct energy consumation from PV","kWh",U16,1,1,0.1,
#i,6429,this_year_direct_energy_consumption_from_PV,"This year direct energy consumation from PV","kWh",U32,2,1,0.1,
############# periods
#i,6469,actual_export_power_from_PV,"Actual export power from PV","W",U16,1,1,1,
#i,6565,this_day_export_energy_from_PV,"This day export energy from PV","kWh",U16,1,1,0.1,
#i,6596,this_month_export_energy_from_PV,"This month export energy from PV","kWh",U16,1,1,0.1,
#i,6608,this_year_export_energy_from_PV,"This year export energy from PV","kWh",U32,2,1,0.1,
############# periods
#i,6648,actual_battery_charge_power,"Actual battery charge power from PV","W",U16,1,1,1,
#i,6744,this_day_battery_charge_energy_from_PV,"This day battery charge energy from PV","kWh",U16,1,1,0.1,
#i,6775,this_month_battery_charge_energy_from_PV,"This month battery charge energy from PV","kWh",U16,1,1,0.1,
#i,6787,this_year_battery_charge_energy_from_PV,"This year battery charge energy from PV","kWh",U32,2,1,0.1,
############# periods
i,13000,system_state,"System State - see Appendix 1.1",,U16,,1,1,
i,13001,running_state,"Running State - see Appendix 1.2",,U16,,1,1,
i,13002,daily_PV_generation,"Daily PV Generation","kWh",U16,,1,0.1,
i,13003,total_PV_generation,"Total PV Generation","kWh",U32,,1,0.1,
i,13005,daily_export_energy_from_PV,"Daily export energy from PV","kWh",U16,,1,0.1,
i,13006,total_export_energy_from_PV,"Total export energy from PV","kWh",U32,,1,0.1,
i,13008,load_power,"Load Power","W",S32,,1,1,
i,13010,export_power,"Export Power","W",S32,,1,1,
i,13012,daily_battery_charge_energy_from_PV,"Total battery charge energy from PV","kWh",U16,,1,0.1,
i,13013,total_battery_charge_energy_from_PV,"Total battery charge energy from PV","kWh",U32,,1,0.1,
i,13015,co2_reduction,"CO2 reduction","kg",U32,,1,0.1,
i,13017,daily_direct_energy_consumption_from_PV,"Daily direct energy consumption from PV","kWh",U16,,1,0.1,
i,13018,total_direct_energy_consumption_from_PV,"Total direct energy consumption from PV","kWh",U32,,1,0.1,
i,13020,battery_voltage,"Battery voltage","V",U16,,1,0.1,
i,13021,battery_current,"Battery current","A",U16,,1,0.1,
i,13022,battery_power,"Battery power","W",U16,,1,1,
i,13023,battery_level,"Battery level","%",U16,,1,0.1,
i,13024,battery_state_of_healthy,"Battery state of healthy","%",U16,,1,0.1,
#i,13025,battery_temperature,"Battery temperature","%",S16,,1,0.1,
i,13026,"daily_battery_discharge_energy","Daily battery discharge energy","Kwh",U16,,1,0.1,
i,13027,"total_battery_discharge_energy","Total battery discharge energy","kWh",U32,,1,0.1,
i,13029,"self_consumption_of_today","Self-consumption of today","%",U16,,1,0.1,
i,13030,"grid_state","Grid state","",U16,,1,1,
i,13031,phase_A_current,"Phase A current Inverter","A",U16,,1,0.1,
i,13032,phase_B_current,"Phase B current Inverter","A",U16,,1,0.1,
i,13033,phase_C_current,"Phase C current Inverter","A",U16,,1,0.1,
i,13034,total_active_power,"Total active power","W",S32,,1,1,
i,13036,daily_import_energy,"Daily import energy","kWh",U16,,1,0.1,
i,13037,total_import_energy,"Total import energy","kWh",U32,,1,0.1,
i,13039,battery_capacity,"battery capacity","kWh or Ah",U16,,1,0.1,
i,13040,daily_charge_energy,"Daily charge energy","kWh",U16,,1,0.1,
i,13041,total_charge_energy,"Total charge energy","kWh",U32,,1,0.1,
i,13043,DRM_state,"DRM state","",U32,,1,1,
i,13045,daily_export_energy,"Daily export energy","kWh",U16,,1,0.1,
i,13046,total_export_energy,"Total export energy","kWh",U32,,1,0.1,
i,13050,inverter_alarm,,1,U32,,1,1,
i,13052,grid_side_fault,,1,U32,,1,1,
i,13054,system_fault_1,,1,U32,,1,1,
i,13056,system_fault_2,,1,U32,,1,1,
i,13058,DC_side_fault,,1,U32,,1,1,
i,13060,permanent_fault,,1,U32,,1,1,
i,13062,BDC_side_fault,,1,U32,,1,1,
i,13064,BDC_side_permanent_fault,,1,U32,,1,1,
i,13066,battery_fault,,1,U32,,1,1,
i,13068,battery_alarm,,1,U32,,1,1,
i,13070,BMS_alarm,,1,U32,,1,1,
i,13072,BMS_protection,,1,U32,,1,1,
i,13074,BMS_fault_1,,1,U32,,1,1,
i,13076,BMS_fault_2,,1,U32,,1,1,
i,13078,BMS_alarm_2,,1,U32,,1,1,
# -> not applicable for SHxxRT i,13100,BMS_status,,1,U16,,1,1,
h,5000,system_clock_year,,1,U16,,1,1,
h,5001,system_clock_month,,1,U16,,1,1,
h,5002,system_clock_day,,1,U16,,1,1,
h,5003,system_clock_hour,,1,U16,,1,1,
h,5004,system_clock_minute,,1,U16,,1,1,
h,5005,system_clock_second,,1,U16,,1,1,
#h,5036,reactive_power_adjustment_mode,,1,U16,,1,1,
#        - response: 0x55   value: "Off"
#        - response: 0xA1   value: "Power factor setting"
#        - response: 0xA2   value: "Reactive power percentage setting"
#        - response: 0xA3   value: "Enable Q(P)"
#        - response: 0xA4   value: "Enable Q(U)"
# undocumented:
#  h,13084,start_battery_charge,"Batterieladung ab Leistung",W,U16,,1,10
#  h,13085,start_battery_discharge,"Batterieentladung ab Leistung",W,U16,,1,10
#  h,30020,system_clock_year,,1,U16,,1,1,
#  h,30021,system_clock_month,,1,U16,,1,1,
#  h,30022,system_clock_day,,1,U16,,1,1,
#  h,30023,system_clock_hour,,1,U16,,1,1,
#  h,30024,system_clock_minute,,1,U16,,1,1,
#  h,30025,system_clock_second,,1,U16,,1,1,
#  h,33031,SOC_upper_limit,"","%",U16,,1,0.1
#  h,33032,SOC_lower_limit,"","%",U16,,1,0.1
#  h,33046,protection_value_of_battery_average_overvoltage,"","W",U16,,1,10
#  h,33047,max_charging_power,"Maximale Ladeleistung","W",U16,,1,10
#  h,33048,max_discharging_power,"Maximale Entladeleistung","W",U16,,1,10
#  h,33049,battery_capacity,"Batterie Kapazität","kWh",U16,,1,0.01
#
#  h,31221,?,"enable/disable?",
#  h,31222,?,"value: 2322",
#  h,31223,?,"value: 996",
#  h,31224,rated_power_other,"Rated Power of Original Power Generation Systems","kW",U16,,1,0.01
#  h,31225,installed_pv_power,"Installed PV Power","kW",U16,,1,0.01
#  h,31230,?,"enable/disable?",
#  h,31231,?,"value: 2070",
#  h,31232,?,"value: 2200",
#  h,31233,?,"value: 2500",
#  h,31234,?,"value: 2650",
#  h,31235,?,"value: 1000",
#  h,31236,?,"value: 1000",
#  h,31237,?,"value: 1000",
#  h,31238,?,"value: 200",
#  h,31239,?,"value: 40",
#
#  h,34000,inverter_dhcp_state,"0x55=off,0xAA=on",,U16,,1,1
#  h,34001-34004,inverter_ip 4xU16
#  h,34005-34008,inverter_gw 4xU16
#     etc. netmask, dns1, dns2 je 4xU16
#
#  h,36039 ff, user password "pw1111" = 28791,12593,12593,0,0,0,0
#  h,36050 ff, admin password "pw8888" = 28791,14392,14392,0,0,0,0
#              ändern sich nicht mit neuem pw???????  nur default???  oder mit 36038=xAA enable als Passwort Reset?
#
#           Global Scanning
# h 30229 - Timing Scanning - xAA enable, x55 disable
# h 30230 - Manual Scanning - xAA enable, x55 disable
# h 30231 - Periodic Scanning - xAA enable, x55 disable
# h 30232 - Scanning Period (Periodic Scanning) - minutes 1-720
# h 30233 - Hour Timing Scanning
# h 30234 - Minute Timing Scanning
#
# Bereich h 20000 - 20008 liefert einige Werte, Bedeutung absolut unklar
#
#  Sunspec Register >= H40001 - taugen nichts, unvollständig
#  Ein Auszug:
#  h,40001 ff: >>SunS___BSUNGROW_________________________Hybrid_Inverter_________________TOPAZ-H_________ARM_SAPPHIRE-H_VA21B1905234_____
#  h,40100
# 200-er
#i,10741,battery_voltage,"Battery voltage (same as 13020)","V",U16,,200,0.1,
#i,10742,battery_current,"Battery current (same as 13021)","V",U16,,200,0.1,
i,10743,battery_temperature,"","C",S16,,200,0.1,
i,10744,battery_level_abs,"absolute battery level","%",U16,,200,0.1,
#i,10745,battery_state_of_healthy,"Battery state of healthy","%",U16,,200,0.1,
#i,10746,total_battery_charge_energy_bms,"Total battery charge energy BMS","kWh",U32,,200,0.1,
#i,10748,total_battery_discharge_energy_bms,"Total battery discharge energy BMS","kWh",U32,,200,0.1,
